timestamp_1hz,anger_idx,arousal,comtempt_idx,disgust_idx,fear_idx,happy_idx,neutral_idx,sad_idx,surprise_idx,timestamp,valence,emotion
124,0.08516339,0.0063984953,0.010382499,0.06298566,0.044242747,0.19672616,0.45734218,0.077552944,0.06560445,124.47241784037558,-0.027372269,Neutral
125,0.034994934,-0.053257227,0.018604826,0.027476845,0.043807488,0.34966537,0.09953498,0.40286672,0.023048831,125.47916666666667,-0.0850994,Happiness
126,0.002504232,-0.158206,0.0006046152,0.002668541,0.1165449,0.0016547818,0.0004323573,0.87532085,0.00026977004,126.47916666666667,-0.7666445,Sadness
127,0.0010726942,-0.345641,0.00039431822,0.00075996574,0.034739904,0.00034329089,0.00032738585,0.9622412,0.000121257,127.47916666666667,-0.90361357,Sadness
128,0.002942331,-0.3333584,0.0012061307,0.00096864183,0.019724896,0.00043485672,0.0011014906,0.97325844,0.00036320847,128.47916666666666,-0.8577786,Sadness
129,0.003506861,-0.36123535,0.00067567057,0.0008429564,0.02925005,0.00023556848,0.0013945092,0.96368414,0.00041022108,129.47916666666666,-0.8809522,Sadness
130,0.002876791,-0.36705327,0.0010713093,0.00078857224,0.023451524,0.000334011,0.0015590697,0.9694647,0.00045408297,130.47916666666666,-0.87780136,Sadness
131,0.0016793901,-0.38038072,0.0005817872,0.0006982419,0.021399075,0.00024659873,0.0009869458,0.9741523,0.0002556561,131.47916666666666,-0.905157,Sadness
132,0.00059838966,-0.34183946,0.00017026326,0.0007138775,0.028489746,0.00016595551,0.00026724095,0.96950626,8.823507e-05,132.35416666666666,-0.95374423,Sadness
133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sadness
134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sadness
135,0.045253273,0.0009082872,0.01649157,0.014659103,0.20263968,0.1596535,0.3391199,0.11276781,0.10941515,135.5108695652174,0.04572146,Neutral
136,0.3176205,0.21943833,0.056546386,0.030121176,0.059611823,0.035934214,0.3599778,0.06379531,0.076392785,136.47916666666666,-0.18020642,Anger
137,0.09516352,0.1380017,0.10106961,0.010673445,0.15138869,0.22986436,0.26895475,0.05565445,0.08723117,137.46354166666666,0.13754556,Neutral
138,0.027199237,0.1700191,0.03627972,0.010092811,0.15942404,0.54579896,0.096127145,0.037224602,0.08785346,138.49796747967477,0.45159796,Happiness
139,0.035347227,0.20497663,0.01782623,0.021332318,0.11257092,0.5419129,0.12759092,0.04042538,0.1029941,139.4125,0.42127433,Happiness
140,0.063992254,0.15144593,0.032586053,0.04371999,0.04691124,0.41150436,0.29711184,0.030076088,0.07409818,140.50462962962962,0.25453332,Happiness
141,0.03800802,0.13563663,0.021580605,0.034873422,0.2131986,0.27623034,0.22527468,0.065440245,0.12539408,141.3359375,0.22039314,Fear
142,0.07324217,0.08245387,0.01749575,0.019865539,0.18660155,0.0502115,0.40747175,0.09178009,0.15333167,142.52935606060603,-0.029509954,Neutral
143,0.08626685,-0.039334133,0.09533784,0.0071163,0.07740242,0.17438388,0.29659307,0.1864683,0.07643133,143.41927083333331,0.037491072,Neutral
144,0.010555058,-0.10283014,0.28074512,0.0016052007,0.0030227613,0.58637744,0.06685416,0.0388401,0.012000159,144.47916666666666,0.5465165,Happiness
145,0.00603611,-0.099852376,0.28215376,0.0006546841,0.0005981161,0.6353887,0.0564893,0.014709604,0.0039697965,145.47916666666666,0.6319141,Happiness
146,0.024370333,-0.12822704,0.23651241,0.0021113537,0.0035446854,0.4912223,0.16166788,0.07132085,0.00925018,146.47916666666666,0.4435178,Happiness
147,0.04088479,-0.18287031,0.13841893,0.0028342893,0.012976096,0.22963227,0.31478742,0.23533744,0.025128743,147.47916666666666,0.15369615,Neutral
148,0.06757802,-0.12539671,0.18672036,0.0020171243,0.006763445,0.14896707,0.38480112,0.1867652,0.016387701,148.47916666666666,0.048917636,Neutral
149,0.118185766,0.13113458,0.27858928,0.0026905758,0.0026506686,0.25902706,0.2997438,0.023062518,0.016050328,149.47916666666666,0.1841185,Neutral
150,0.025980143,0.07395197,0.19330347,0.008510871,0.0008038532,0.7061532,0.052963812,0.002130219,0.01015441,150.47916666666666,0.5940236,Happiness
151,0.03714201,0.07833989,0.008904318,0.011131674,0.004368448,0.7694135,0.12498348,0.033944964,0.010111674,151.47916666666666,0.5346848,Happiness
152,0.1798638,-0.017479708,0.010716781,0.018171292,0.023999296,0.031015346,0.44152257,0.27500764,0.01970332,152.47916666666666,-0.33719453,Neutral
153,0.105794095,-0.036438428,0.007315027,0.017808571,0.07163378,0.075000174,0.47681263,0.20180331,0.04383239,153.47916666666666,-0.22718704,Neutral
154,0.054509997,-0.08707337,0.013833979,0.00796764,0.1605281,0.035482265,0.47031644,0.18113047,0.076231115,154.4375,-0.13326241,Neutral
155,0.049741514,0.23721425,0.055669013,0.03851303,0.30292696,0.07751339,0.19486299,0.05137636,0.22939673,155.6875,0.11694364,Fear
156,0.032566994,0.113789655,0.08654962,0.023525143,0.18673593,0.3500466,0.13599949,0.04064085,0.14393538,156.47916666666666,0.35822716,Fear
157,0.017233843,0.072792776,0.08950921,0.007665032,0.03360865,0.6578106,0.05734648,0.012887423,0.12393871,157.47916666666666,0.6392743,Happiness
158,0.014930122,0.12768419,0.10783163,0.008253823,0.039935406,0.6235981,0.045431685,0.02896414,0.13105512,158.47916666666666,0.58890885,Happiness
159,0.0038402502,0.14082457,0.059105232,0.0012825443,0.005218882,0.8655212,0.009247822,0.0023905716,0.0533935,159.47916666666666,0.73835397,Happiness
160,0.00030532313,0.253453,0.0099935,0.00011179831,0.00017792509,0.9820142,0.0008193736,0.00018492463,0.0063929833,160.47916666666666,0.82758063,Happiness
161,0.16744292,0.10758889,0.012896246,0.0015550046,0.006257018,0.29772907,0.3982112,0.11133602,0.004572513,161.47916666666666,0.12703945,Neutral
162,0.110591374,-0.04391651,0.019182054,0.0017363649,0.004426139,0.19903278,0.6254082,0.036286317,0.0033367798,162.47916666666666,0.09087045,Neutral
163,0.07555262,-0.043660063,0.014528878,0.0033454364,0.00829826,0.30812147,0.55650866,0.027344575,0.0063000903,163.47916666666666,0.22127412,Neutral
164,0.0642054,-0.13960327,0.004161113,0.00035588534,0.00290454,0.05667292,0.79178214,0.078816704,0.0011013001,164.47916666666666,-0.07801217,Neutral
165,0.11968558,-0.017626489,0.008886823,0.0035110267,0.007830088,0.071663745,0.6011108,0.18444782,0.002864117,165.47916666666666,-0.10734687,Neutral
166,0.37026295,0.144646,0.01055786,0.012787145,0.0104608955,0.04895294,0.2985239,0.24359256,0.004861724,166.47916666666666,-0.22725023,Neutral
167,0.6952167,0.43226603,0.0040704785,0.032423254,0.022742229,0.029403098,0.19046475,0.014302635,0.011376764,167.47916666666666,-0.21852934,Anger
168,0.5622384,0.29956958,0.0046466882,0.034730464,0.00885575,0.044262797,0.2928902,0.047221903,0.0051537915,168.47916666666666,-0.17460252,Anger
169,0.18596432,0.1272529,0.016336493,0.007685668,0.21386248,0.033871762,0.3434669,0.15421252,0.04459982,169.44166666666666,-0.12878181,Fear
170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fear
171,0.24350643,0.16490637,0.0945983,0.023148784,0.1640156,0.09647126,0.15910895,0.17449038,0.04466027,171.58333333333331,-0.028084293,Fear
172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fear
173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fear
174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fear
175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fear
176,0.32259503,0.14231002,0.014680344,0.03733898,0.09548415,0.048236515,0.20677464,0.22970481,0.04518552,176.60539215686273,-0.21917915,Anger
177,0.36575052,0.14012349,0.014956054,0.01960512,0.018975375,0.08276894,0.3317991,0.15604557,0.010099351,177.47916666666666,-0.22047882,Anger
